"input"	"translation"
"PRPS1L1_mut"	"R-HSA-73843"
"PRPS1L1_mut"	"R-HSA-1430728"
"PRPS1L1_mut"	"R-HSA-71387"
"PRPS1L1_mut"	"R-HSA-71336"
"B3GAT1_mut"	"R-HSA-1971475"
"B3GAT1_mut"	"R-HSA-1793185"
"B3GAT1_mut"	"R-HSA-1630316"
"B3GAT1_mut"	"R-HSA-1638091"
"B3GAT1_mut"	"R-HSA-1430728"
"B3GAT1_mut"	"R-HSA-71387"
"CSPG4_mut"	"R-HSA-1971475"
"CSPG4_mut"	"R-HSA-2024101"
"CSPG4_mut"	"R-HSA-2022870"
"CSPG4_mut"	"R-HSA-1793185"
"CSPG4_mut"	"R-HSA-4420332"
"CSPG4_mut"	"R-HSA-3560801"
"CSPG4_mut"	"R-HSA-3560783"
"CSPG4_mut"	"R-HSA-3595174"
"CSPG4_mut"	"R-HSA-3595172"
"CSPG4_mut"	"R-HSA-3595177"
"CSPG4_mut"	"R-HSA-2022923"
"CSPG4_mut"	"R-HSA-1643685"
"CSPG4_mut"	"R-HSA-3560782"
"CSPG4_mut"	"R-HSA-3781865"
"CSPG4_mut"	"R-HSA-5668914"
"CSPG4_mut"	"R-HSA-1630316"
"CSPG4_mut"	"R-HSA-1638091"
"CSPG4_mut"	"R-HSA-1430728"
"CSPG4_mut"	"R-HSA-71387"
"CSPG5_mut"	"R-HSA-1971475"
"CSPG5_mut"	"R-HSA-2024101"
"CSPG5_mut"	"R-HSA-2022870"
"CSPG5_mut"	"R-HSA-1793185"
"CSPG5_mut"	"R-HSA-4420332"
"CSPG5_mut"	"R-HSA-3560801"
"CSPG5_mut"	"R-HSA-3560783"
"CSPG5_mut"	"R-HSA-3595174"
"CSPG5_mut"	"R-HSA-3595172"
"CSPG5_mut"	"R-HSA-3595177"
"CSPG5_mut"	"R-HSA-2022923"
"CSPG5_mut"	"R-HSA-1643685"
"CSPG5_mut"	"R-HSA-3560782"
"CSPG5_mut"	"R-HSA-3781865"
"CSPG5_mut"	"R-HSA-5668914"
"CSPG5_mut"	"R-HSA-1630316"
"CSPG5_mut"	"R-HSA-1638091"
"CSPG5_mut"	"R-HSA-1430728"
"CSPG5_mut"	"R-HSA-71387"
"DCN_mut"	"R-HSA-1971475"
"DCN_mut"	"R-HSA-2024101"
"DCN_mut"	"R-HSA-2022870"
"DCN_mut"	"R-HSA-1793185"
"DCN_mut"	"R-HSA-4420332"
"DCN_mut"	"R-HSA-3560801"
"DCN_mut"	"R-HSA-3560783"
"DCN_mut"	"R-HSA-3595174"
"DCN_mut"	"R-HSA-3595172"
"DCN_mut"	"R-HSA-3595177"
"DCN_mut"	"R-HSA-1474228"
"DCN_mut"	"R-HSA-2022923"
"DCN_mut"	"R-HSA-1643685"
"DCN_mut"	"R-HSA-3560782"
"DCN_mut"	"R-HSA-3781865"
"DCN_mut"	"R-HSA-5668914"
